modo,tamanho,tempo
concorrente,2048,50266
concorrente,2048,50215
concorrente,2048,49809
concorrente,2048,49839
concorrente,2048,49866
concorrente,2048,49678
concorrente,2048,49519
concorrente,2048,49641
concorrente,2048,49662
concorrente,2048,49565
concorrente,2048,49947
concorrente,2048,49696
concorrente,2048,49869
concorrente,2048,50896
concorrente,2048,50083
concorrente,2048,50095
concorrente,2048,50162
concorrente,2048,50065
concorrente,2048,50186
concorrente,2048,50759
concorrente,1024,5256
concorrente,1024,5091
concorrente,1024,5069
concorrente,1024,5066
concorrente,1024,5057
concorrente,1024,5125
concorrente,1024,5110
concorrente,1024,5116
concorrente,1024,5095
concorrente,1024,5059
concorrente,1024,5091
concorrente,1024,5101
concorrente,1024,5111
concorrente,1024,5082
concorrente,1024,5145
concorrente,1024,5111
concorrente,1024,5099
concorrente,1024,5093
concorrente,1024,5119
concorrente,1024,5088
concorrente,512,560
concorrente,512,569
concorrente,512,552
concorrente,512,554
concorrente,512,561
concorrente,512,567
concorrente,512,559
concorrente,512,570
concorrente,512,569
concorrente,512,567
concorrente,512,555
concorrente,512,563
concorrente,512,556
concorrente,512,551
concorrente,512,562
concorrente,512,549
concorrente,512,569
concorrente,512,559
concorrente,512,563
concorrente,512,555
concorrente,256,99
concorrente,256,96
concorrente,256,101
concorrente,256,103
concorrente,256,106
concorrente,256,109
concorrente,256,107
concorrente,256,113
concorrente,256,97
concorrente,256,102
concorrente,256,108
concorrente,256,102
concorrente,256,105
concorrente,256,98
concorrente,256,110
concorrente,256,100
concorrente,256,105
concorrente,256,104
concorrente,256,110
concorrente,256,105
concorrente,128,18
concorrente,128,28
concorrente,128,24
concorrente,128,20
concorrente,128,22
concorrente,128,32
concorrente,128,25
concorrente,128,20
concorrente,128,20
concorrente,128,26
concorrente,128,20
concorrente,128,20
concorrente,128,24
concorrente,128,25
concorrente,128,21
concorrente,128,22
concorrente,128,24
concorrente,128,19
concorrente,128,23
concorrente,128,25
sequencial,2048,252744
sequencial,2048,254302
sequencial,2048,244909
sequencial,2048,244085
sequencial,2048,243557
sequencial,2048,243374
sequencial,2048,244475
sequencial,2048,243552
sequencial,2048,243130
sequencial,2048,242937
sequencial,2048,243002
sequencial,2048,242985
sequencial,2048,243172
sequencial,2048,244370
sequencial,2048,243389
sequencial,2048,242877
sequencial,2048,243496
sequencial,2048,242910
sequencial,2048,242863
sequencial,2048,242995
sequencial,1024,27339
sequencial,1024,26973
sequencial,1024,26062
sequencial,1024,26137
sequencial,1024,25856
sequencial,1024,25956
sequencial,1024,25990
sequencial,1024,26072
sequencial,1024,26035
sequencial,1024,25872
sequencial,1024,25928
sequencial,1024,26030
sequencial,1024,25927
sequencial,1024,25777
sequencial,1024,25928
sequencial,1024,25699
sequencial,1024,25824
sequencial,1024,25967
sequencial,1024,25871
sequencial,1024,25800
sequencial,512,2584
sequencial,512,2608
sequencial,512,2560
sequencial,512,2576
sequencial,512,2515
sequencial,512,2522
sequencial,512,2572
sequencial,512,2553
sequencial,512,2511
sequencial,512,2519
sequencial,512,2510
sequencial,512,2521
sequencial,512,2526
sequencial,512,2511
sequencial,512,2546
sequencial,512,2560
sequencial,512,2529
sequencial,512,2505
sequencial,512,2538
sequencial,512,2553
sequencial,256,317
sequencial,256,268
sequencial,256,268
sequencial,256,274
sequencial,256,260
sequencial,256,262
sequencial,256,263
sequencial,256,262
sequencial,256,272
sequencial,256,267
sequencial,256,265
sequencial,256,266
sequencial,256,265
sequencial,256,267
sequencial,256,263
sequencial,256,264
sequencial,256,264
sequencial,256,262
sequencial,256,265
sequencial,256,266
sequencial,128,29
sequencial,128,28
sequencial,128,27
sequencial,128,28
sequencial,128,28
sequencial,128,27
sequencial,128,28
sequencial,128,28
sequencial,128,28
sequencial,128,27
sequencial,128,28
sequencial,128,30
sequencial,128,28
sequencial,128,29
sequencial,128,28
sequencial,128,28
sequencial,128,28
sequencial,128,28
sequencial,128,27
sequencial,128,28
